住宅価格の中央値,経度,緯度,築年数の中央値,合計部屋数,合計ベッドルーム数,人口,世帯数,収入の中央値,海への近さ
241700.0,-117.24,32.79,17.0,1149.0,266.0,403.0,228.0,4.1652,NEAR OCEAN
220300.0,-122.67,38.33,4.0,8072.0,1606.0,4323.0,1475.0,3.9518,<1H OCEAN
97000.0,-121.44,38.55,46.0,1698.0,383.0,726.0,386.0,2.9821,INLAND
164500.0,-120.84,37.43,32.0,2892.0,521.0,1580.0,484.0,3.7784,INLAND
191700.0,-118.13,34.09,42.0,700.0,212.0,662.0,210.0,3.0078,<1H OCEAN
68900.0,-120.6,37.34,34.0,1830.0,431.0,1304.0,415.0,2.1182,INLAND
500001.0,-118.37,34.1,37.0,407.0,67.0,100.0,47.0,15.0001,<1H OCEAN
284500.0,-117.94,33.7,18.0,4827.0,718.0,2471.0,716.0,6.1181,<1H OCEAN
369400.0,-117.31,33.07,21.0,2035.0,534.0,948.0,467.0,3.2984,NEAR OCEAN
183100.0,-118.11,33.9,36.0,1347.0,278.0,748.0,278.0,5.1423,<1H OCEAN
415000.0,-122.32,37.56,26.0,2339.0,704.0,1283.0,654.0,3.162,NEAR OCEAN
318000.0,-122.48,37.93,16.0,2947.0,802.0,1385.0,743.0,3.6731,NEAR BAY
185100.0,-118.13,34.02,38.0,1243.0,310.0,788.0,286.0,2.5852,<1H OCEAN
187500.0,-118.12,33.93,27.0,580.0,143.0,466.0,133.0,3.0909,<1H OCEAN
500001.0,-119.14,34.23,8.0,243.0,75.0,102.0,80.0,2.5714,NEAR OCEAN
195100.0,-117.58,33.85,6.0,16431.0,2640.0,8222.0,2553.0,5.2861,INLAND
153700.0,-118.16,33.79,25.0,3742.0,1180.0,3916.0,1063.0,2.4,NEAR OCEAN
140400.0,-117.06,32.56,17.0,2803.0,683.0,2768.0,676.0,1.7958,NEAR OCEAN
58300.0,-119.29,36.54,18.0,2581.0,628.0,2732.0,592.0,1.8429,INLAND
129700.0,-118.21,34.02,45.0,792.0,203.0,872.0,188.0,2.6875,<1H OCEAN
112500.0,-117.35,33.99,45.0,131.0,28.0,89.0,31.0,2.6071,INLAND
128100.0,-118.19,33.91,43.0,1531.0,357.0,1509.0,376.0,2.6354,<1H OCEAN
232800.0,-122.01,36.97,52.0,920.0,202.0,525.0,264.0,2.9444,NEAR OCEAN
131500.0,-117.11,32.62,27.0,1846.0,509.0,1078.0,482.0,2.1719,NEAR OCEAN
63800.0,-119.33,36.19,27.0,418.0,163.0,332.0,141.0,1.0714,INLAND
74800.0,-122.38,40.58,36.0,1808.0,384.0,807.0,383.0,1.8375,INLAND
