median_house_value,longitude,latitude,median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
178900.0,-122.18,37.7,35.0,2562.0,554.0,1398.0,525.0,3.3906,NEAR BAY
208800.0,-118.3,33.9,29.0,2617.0,668.0,1868.0,647.0,3.6,<1H OCEAN
410500.0,-122.53,37.92,42.0,1741.0,301.0,723.0,306.0,5.5379,NEAR BAY
227400.0,-122.48,37.65,39.0,3348.0,666.0,1817.0,668.0,4.2593,NEAR OCEAN
172500.0,-117.87,33.74,52.0,2411.0,526.0,2165.0,521.0,3.415,<1H OCEAN
296800.0,-122.89,38.4,22.0,2900.0,538.0,1445.0,515.0,4.511,<1H OCEAN
79500.0,-121.01,37.62,35.0,568.0,150.0,622.0,145.0,1.8167,INLAND
500001.0,-118.4,33.88,36.0,1543.0,214.0,474.0,187.0,9.3399,<1H OCEAN
148200.0,-122.24,38.11,52.0,2111.0,310.0,772.0,323.0,4.775,NEAR BAY
233900.0,-118.35,33.88,36.0,1567.0,362.0,1054.0,386.0,3.2594,<1H OCEAN
103600.0,-118.24,33.91,36.0,1446.0,316.0,1286.0,314.0,2.7083,<1H OCEAN
175000.0,-118.27,34.14,10.0,1060.0,332.0,1025.0,288.0,3.0074,<1H OCEAN
71900.0,-120.51,36.86,21.0,1779.0,399.0,1446.0,371.0,2.4414,INLAND
178900.0,-121.53,38.51,20.0,6132.0,1324.0,2595.0,1174.0,3.1607,INLAND
92900.0,-121.64,39.11,18.0,3212.0,542.0,1817.0,508.0,3.3793,INLAND
160100.0,-118.1,33.96,38.0,1657.0,335.0,1195.0,309.0,4.1711,<1H OCEAN
93400.0,-118.26,33.94,45.0,1080.0,218.0,850.0,237.0,2.25,<1H OCEAN
187500.0,-117.17,32.68,16.0,5895.0,1424.0,873.0,522.0,7.3669,NEAR OCEAN
67500.0,-122.0,38.99,39.0,1548.0,323.0,815.0,286.0,2.9489,INLAND
331300.0,-121.52,38.65,17.0,1269.0,233.0,494.0,231.0,3.9615,INLAND
275000.0,-117.93,33.65,27.0,1283.0,406.0,1063.0,376.0,2.75,<1H OCEAN
100600.0,-117.08,32.7,35.0,1477.0,264.0,852.0,279.0,3.1786,NEAR OCEAN
456300.0,-118.4,33.97,37.0,1364.0,248.0,494.0,242.0,4.6364,<1H OCEAN
277000.0,-122.54,38.0,28.0,3416.0,826.0,1694.0,800.0,3.18,NEAR BAY
228100.0,-118.25,34.15,31.0,1238.0,338.0,605.0,331.0,2.8478,<1H OCEAN
264100.0,-117.95,33.94,28.0,2851.0,496.0,1287.0,496.0,5.0782,<1H OCEAN
393600.0,-118.37,34.08,52.0,1466.0,254.0,600.0,253.0,5.7524,<1H OCEAN
219400.0,-121.76,38.55,23.0,8800.0,1857.0,6330.0,1832.0,2.065,INLAND
162800.0,-117.93,33.75,24.0,1380.0,339.0,1472.0,304.0,4.2219,<1H OCEAN
220200.0,-118.5,34.45,25.0,1290.0,190.0,689.0,216.0,6.0097,<1H OCEAN
258300.0,-118.3,34.08,32.0,2880.0,1063.0,3646.0,1028.0,2.3846,<1H OCEAN
368100.0,-118.25,34.16,52.0,2477.0,385.0,993.0,371.0,4.9135,<1H OCEAN
191400.0,-117.95,33.76,24.0,3956.0,812.0,3196.0,795.0,4.3512,<1H OCEAN
122500.0,-121.8,38.0,34.0,2738.0,475.0,1316.0,459.0,3.5368,INLAND
55000.0,-120.63,35.13,16.0,2680.0,704.0,975.0,619.0,1.7878,<1H OCEAN
500001.0,-122.44,37.79,52.0,1447.0,186.0,483.0,181.0,15.0001,NEAR BAY
143800.0,-118.29,34.05,40.0,907.0,349.0,1426.0,323.0,1.8571,<1H OCEAN
162500.0,-118.28,34.01,46.0,441.0,167.0,621.0,144.0,1.8824,<1H OCEAN
65800.0,-119.02,35.34,38.0,1463.0,294.0,692.0,295.0,2.3125,INLAND
84200.0,-118.24,33.94,37.0,869.0,241.0,1040.0,233.0,2.0,<1H OCEAN
162500.0,-121.83,37.95,17.0,1133.0,244.0,716.0,235.0,2.875,INLAND
292200.0,-118.17,34.61,7.0,2465.0,336.0,978.0,332.0,7.1381,INLAND
154600.0,-123.22,39.16,32.0,1149.0,187.0,499.0,208.0,3.6587,<1H OCEAN
103000.0,-117.09,34.07,24.0,6260.0,1271.0,3132.0,1189.0,2.5156,INLAND
245800.0,-122.07,38.41,17.0,3053.0,595.0,1434.0,557.0,3.4741,INLAND
165000.0,-118.08,33.96,35.0,2104.0,399.0,1659.0,387.0,4.0096,<1H OCEAN
167700.0,-121.08,38.93,14.0,4239.0,824.0,1729.0,794.0,2.4278,INLAND
113200.0,-117.72,34.06,32.0,2209.0,654.0,1718.0,569.0,1.9643,INLAND
211700.0,-122.55,38.42,24.0,2220.0,411.0,894.0,365.0,4.2891,<1H OCEAN
500001.0,-118.35,33.74,25.0,8272.0,1132.0,3392.0,1132.0,10.0973,NEAR OCEAN
97600.0,-121.0,37.25,31.0,1923.0,341.0,806.0,349.0,3.1738,INLAND
121700.0,-117.24,33.21,19.0,1872.0,489.0,1859.0,446.0,2.1875,<1H OCEAN
156900.0,-122.29,37.86,52.0,1665.0,404.0,815.0,372.0,1.9946,NEAR BAY
300900.0,-122.5,37.92,30.0,2270.0,359.0,974.0,351.0,5.5926,NEAR BAY
121500.0,-117.17,34.05,24.0,2877.0,507.0,1141.0,474.0,4.2059,INLAND
160900.0,-120.97,37.69,16.0,2793.0,476.0,1279.0,477.0,3.4667,INLAND
374500.0,-118.4,34.15,44.0,2515.0,510.0,967.0,484.0,5.0754,<1H OCEAN
158900.0,-120.41,34.87,32.0,1997.0,317.0,866.0,281.0,5.062,<1H OCEAN
