median_house_value,longitude,latitude,median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
71300.0,-120.19,37.53,25.0,1470.0,341.0,706.0,283.0,1.7614,INLAND
196900.0,-118.1,33.95,34.0,3635.0,781.0,2171.0,720.0,3.7308,<1H OCEAN
218900.0,-118.29,33.75,37.0,1319.0,292.0,766.0,285.0,2.7031,NEAR OCEAN
345800.0,-117.25,32.72,36.0,2632.0,450.0,2038.0,419.0,6.5319,NEAR OCEAN
71500.0,-117.3,34.13,42.0,2115.0,557.0,1532.0,494.0,1.4531,INLAND
244700.0,-121.34,38.05,16.0,667.0,92.0,267.0,90.0,5.6147,INLAND
42500.0,-121.57,39.48,15.0,202.0,54.0,145.0,40.0,0.8252,INLAND
102200.0,-121.12,37.73,35.0,1107.0,227.0,573.0,210.0,2.3924,INLAND
161200.0,-118.08,33.97,35.0,825.0,155.0,590.0,144.0,4.6333,<1H OCEAN
158900.0,-117.15,33.14,15.0,1070.0,208.0,470.0,217.0,2.3062,<1H OCEAN
150700.0,-120.47,34.65,16.0,2549.0,428.0,1486.0,432.0,4.2875,NEAR OCEAN
71700.0,-122.79,40.75,17.0,3851.0,818.0,1352.0,560.0,2.125,INLAND
439100.0,-118.37,33.99,32.0,4018.0,564.0,1400.0,568.0,8.6718,<1H OCEAN
42700.0,-118.98,35.36,15.0,1482.0,338.0,1059.0,279.0,1.2617,INLAND
114800.0,-117.78,34.06,25.0,1712.0,491.0,1807.0,478.0,2.2258,INLAND
79200.0,-123.28,40.77,25.0,767.0,206.0,301.0,121.0,1.625,INLAND
500001.0,-118.08,34.13,46.0,1238.0,147.0,377.0,145.0,8.4546,INLAND
500001.0,-118.4,34.05,43.0,1028.0,145.0,394.0,149.0,10.4519,<1H OCEAN
279400.0,-118.34,33.86,36.0,2223.0,360.0,1162.0,376.0,5.259,<1H OCEAN
103500.0,-122.24,38.1,49.0,1851.0,356.0,849.0,307.0,2.9432,NEAR BAY
319800.0,-117.26,33.06,11.0,2660.0,352.0,1226.0,366.0,7.6832,NEAR OCEAN
189500.0,-117.96,33.76,24.0,1328.0,290.0,1012.0,306.0,4.2813,<1H OCEAN
235600.0,-118.43,34.33,18.0,5891.0,920.0,2882.0,911.0,5.901,<1H OCEAN
500001.0,-117.62,33.42,23.0,2656.0,515.0,998.0,435.0,4.0294,NEAR OCEAN
101400.0,-121.71,39.25,37.0,1871.0,321.0,806.0,294.0,4.0,INLAND
261300.0,-122.28,37.88,52.0,1844.0,332.0,769.0,334.0,4.2614,NEAR BAY
388100.0,-122.05,37.35,34.0,2494.0,375.0,1399.0,382.0,7.3753,<1H OCEAN
163000.0,-117.68,34.1,11.0,7392.0,1796.0,3841.0,1621.0,2.8326,INLAND
397500.0,-118.28,34.11,52.0,2036.0,348.0,775.0,332.0,5.4122,<1H OCEAN
250000.0,-122.22,37.48,34.0,1541.0,584.0,1564.0,558.0,2.56,NEAR OCEAN
500001.0,-118.34,34.08,52.0,1721.0,195.0,688.0,196.0,15.0001,<1H OCEAN
183100.0,-118.11,33.9,36.0,1347.0,278.0,748.0,278.0,5.1423,<1H OCEAN
69300.0,-121.47,38.63,29.0,2197.0,520.0,1374.0,483.0,2.1889,INLAND
103100.0,-121.42,37.74,19.0,1393.0,367.0,915.0,355.0,1.1957,INLAND
496000.0,-122.26,37.45,17.0,2742.0,441.0,986.0,421.0,5.9285,NEAR OCEAN
254400.0,-122.08,37.58,15.0,2576.0,418.0,1657.0,410.0,5.5218,NEAR BAY
332500.0,-121.94,37.3,30.0,1758.0,248.0,814.0,256.0,6.623,<1H OCEAN
151600.0,-117.29,33.19,18.0,6235.0,1233.0,4127.0,1162.0,3.0704,NEAR OCEAN
187500.0,-122.48,37.72,45.0,1405.0,338.0,733.0,342.0,4.1116,NEAR OCEAN
140000.0,-116.88,33.74,20.0,3111.0,623.0,1000.0,508.0,1.5982,INLAND
400000.0,-118.28,34.06,14.0,1787.0,853.0,2251.0,763.0,1.1642,<1H OCEAN
143500.0,-118.35,33.97,33.0,1495.0,474.0,1272.0,447.0,2.0694,<1H OCEAN
438100.0,-118.39,33.89,40.0,826.0,143.0,389.0,147.0,7.1845,<1H OCEAN
122400.0,-124.14,41.95,21.0,2696.0,578.0,1208.0,494.0,2.275,NEAR OCEAN
162500.0,-118.16,33.98,33.0,1196.0,313.0,1448.0,320.0,2.9375,<1H OCEAN
101300.0,-117.27,33.77,16.0,2876.0,576.0,1859.0,545.0,2.0878,<1H OCEAN
212500.0,-118.14,33.79,45.0,1519.0,263.0,681.0,267.0,4.6452,NEAR OCEAN
60300.0,-119.35,36.21,26.0,2481.0,586.0,1445.0,498.0,1.6378,INLAND
500001.0,-122.19,37.44,38.0,3383.0,456.0,1203.0,465.0,9.3198,NEAR OCEAN
243200.0,-121.17,38.69,5.0,7138.0,1227.0,2623.0,1139.0,5.6902,INLAND
306700.0,-122.47,37.68,31.0,4077.0,777.0,2544.0,738.0,4.5337,NEAR OCEAN
81300.0,-121.84,38.13,33.0,596.0,105.0,212.0,94.0,4.2813,INLAND
113700.0,-119.08,36.13,21.0,2271.0,376.0,1145.0,372.0,3.1528,INLAND
171500.0,-118.09,33.89,42.0,1150.0,215.0,708.0,204.0,3.6875,<1H OCEAN
99200.0,-118.27,33.98,45.0,1696.0,424.0,1502.0,429.0,1.3042,<1H OCEAN
50800.0,-119.46,35.17,40.0,4164.0,812.0,1998.0,773.0,2.8323,INLAND
228600.0,-121.79,37.03,18.0,943.0,213.0,544.0,179.0,3.934,<1H OCEAN
109100.0,-119.3,36.57,32.0,728.0,,461.0,149.0,3.0156,INLAND
63600.0,-121.26,37.96,43.0,527.0,133.0,367.0,152.0,2.5,INLAND
187300.0,-118.31,34.26,34.0,1797.0,363.0,948.0,363.0,4.1339,<1H OCEAN
420000.0,-122.42,37.8,52.0,1777.0,486.0,932.0,427.0,3.3643,NEAR BAY
121200.0,-120.97,37.68,16.0,2493.0,535.0,1370.0,504.0,3.3368,INLAND
177900.0,-117.91,33.78,33.0,2729.0,549.0,2223.0,535.0,4.0362,<1H OCEAN
451500.0,-117.83,34.15,20.0,2421.0,306.0,1023.0,298.0,8.0683,INLAND
70800.0,-117.25,34.11,32.0,2910.0,641.0,2011.0,614.0,2.7473,INLAND
262000.0,-122.46,37.65,16.0,8676.0,1633.0,5130.0,1574.0,4.8096,NEAR OCEAN
213200.0,-118.13,33.84,35.0,3008.0,674.0,1584.0,671.0,3.5465,<1H OCEAN
117000.0,-121.5,38.63,6.0,693.0,143.0,276.0,151.0,3.1944,INLAND
181400.0,-120.69,35.52,26.0,2758.0,571.0,1291.0,522.0,2.925,<1H OCEAN
72700.0,-120.71,37.39,40.0,680.0,160.0,785.0,175.0,2.6058,INLAND
92100.0,-124.13,40.62,43.0,2131.0,399.0,910.0,389.0,2.5804,NEAR OCEAN
251300.0,-122.66,38.2,39.0,2889.0,517.0,1351.0,489.0,4.3056,<1H OCEAN
